SimpName,EngName,TradName,price,birthday,weight,height,IdioFoot,nationality,contract
特尔施特根,Marc-Andre ter Stegen,史迪根,8100万英镑,1992-04-30,82,187,右脚,德国,2022-06-30
内托,Neto,内托,1620万英镑,1989-07-19,,190,右脚,巴西、意大利,2023-06-30
杰拉德·皮克,Gerard Pique Bernabeu,比基,3150万英镑,1987-02-02,77,192,右脚,西班牙,2022-06-30
约尔迪·阿尔巴,Jordi Alba Ramos,佐迪艾巴,4500万英镑,1989-03-21,63,170,左脚,西班牙,2024-06-30
塞缪尔.乌姆蒂蒂,Samuel Umtiti,烏迪迪,4050万英镑,1993-11-14,75,182,左脚,法国、喀麦隆,2023-06-30
尼尔森·塞梅多,Nelson Cabral Semedo,尼爾遜森美度,3600万英镑,1993-11-16,65,177,右脚,葡萄牙、佛得角,2022-06-30
朗格莱,Clement Lenglet,C.朗格莱,5400万英镑,1995-06-17,81,186,左脚,法国,2023-06-30
瓦古埃,Moussa Wague,莫沙華古爾,450万英镑,1998-10-04,,177,右脚,塞内加尔,2023-06-30
达尼·莫雷尔,Dani Morer,D.莫雷爾,18万英镑,1998-02-05,,169,右脚,西班牙,2019-06-30
朱尼奥·菲尔波,Hector Junior Firpo Adames,J.菲爾普,2250万英镑,1996-08-22,,184,左脚,西班牙、西班牙,2024-06-30
塞尔吉奥·布斯克茨,Sergi Busquets Burgos,布斯基斯,4500万英镑,1988-07-16,83,189,右脚,西班牙,2023-06-30
阿尔达·图兰,Arda Turan,杜蘭,72万英镑,1987-01-30,72,177,右脚,土耳其,2020-06-30
伊万·拉基蒂奇,Ivan Rakitic,拿傑迪,3150万英镑,1988-03-10,72,184,右脚,克罗地亚、瑞士,2021-06-30
阿图罗·比达尔,Arturo Vidal,維達爾,1350万英镑,1987-05-22,74,180,右脚,智利,2021-06-30
塞吉·罗伯托,Sergi Roberto Carnicer,沙治羅拔圖,4500万英镑,1992-02-07,70,178,右脚,西班牙,2022-06-30
伊纳基·戈迪亚·佩纳,Inaki Goitia Pena,高爾迪亞,17.6万英镑,1982-03-02,82,188,右脚,西班牙,2015-06-30
阿图尔,Arthur Henrique Ramos de Oliveira Melo,艾科亞,6300万英镑,1996-08-12,73,172,右脚,巴西,2024-06-30
弗兰基·德容,Frenkie De Jong,法蘭基迪莊,7650万英镑,1997-05-12,,181,右脚,荷兰,2024-06-30
里奥内尔·安德雷斯·梅西,Lionel Andres Messi,美斯,13500万英镑,1987-06-24,67,170,左脚,阿根廷、西班牙,2021-06-30
奥斯曼·登贝莱,Ousmane Dembele,奧士文迪比利,9000万英镑,1997-05-15,,178,双脚,法国、毛里塔尼亚,2022-06-30
卡洛斯.佩雷兹,Carles P&#233;rez Sayol,卡洛斯.佩雷茲,900万英镑,1998-02-16,,173,左脚,西班牙,2019-06-30
里奇普格,Riqui Puig,里奇普格,900万英镑,1999-08-13,,169,右脚,西班牙,2021-06-30
I.佩納,Ignacio Pena Sotorres,I.佩納,万英镑,1999-03-02,,,,西班牙,
路易斯·阿尔贝托·苏亚雷斯,Luis Suarez,蘇亞雷斯,4500万英镑,1987-01-24,81,182,右脚,乌拉圭、意大利,2021-06-30
安东尼.格列兹曼,Antoine Griezmann,基斯文,11700万英镑,1991-03-21,70,176,左脚,法国,2024-06-30
吉策.洛佩特,Julen Lopetegui,吉策.洛佩特,万英镑,1966-09-28,,,,西班牙,
亚西尼布努,Yassine Bounou,保奴,450万英镑,1991-04-05,80,192,左脚,摩洛哥、加拿大,2020-06-30
托马斯.瓦茨利克,Tomas Vaclik,華歷克,1620万英镑,1989-03-29,84,188,右脚,捷克,2021-06-30
A.路易士卢达,Andres Felipe Rodriguez Rueda,A.路易士盧達,9万英镑,1998-02-23,,176,左脚,西班牙,2019-06-30
埃斯库德罗,Sergio Escudero Palomo,艾斯古迪路,675万英镑,1989-09-02,67,176,左脚,西班牙,2021-06-30
赫苏斯·纳瓦斯,Jesus Navas Gonzalez,拿華斯,360万英镑,1985-11-21,60,172,右脚,西班牙,2021-06-30
高美斯,Sergi Gomez Sola,沙治高美斯,810万英镑,1992-03-28,,185,右脚,西班牙,2022-06-30
D.桑托斯,Diego Santos Silva,迪高卡路士,1170万英镑,1993-03-15,,186,右脚,巴西,2024-06-30
J.科德,Jules Kounde,J.科德,1350万英镑,1998-11-12,70,184,右脚,法国、贝宁,2024-06-30
雷吉隆,Sergio Reguil&#243;n,雷吉隆,1350万英镑,1996-12-16,,178,左脚,西班牙,2020-06-30
G.罗德里格斯,Genaro Rodriguez Serrano,G.羅德里格斯,万英镑,1998-03-23,,,,西班牙,
弗兰西斯科.费尔南多,Fernando Francisco Reges,費蘭度列謝斯,405万英镑,1987-07-25,70,183,右脚,巴西、葡萄牙,2022-06-30
曼努埃尔·诺利托,Manuel Agudo Duran Nolito,洛尼圖,180万英镑,1986-10-15,70,175,右脚,西班牙,2020-06-30
奧甘波斯,Lucas Ocampos,奧甘普斯,1350万英镑,1994-07-11,84,187,双脚,阿根廷,2024-06-30
弗兰克.巴斯克斯,Franco Vazquez,法蘭高華斯基斯,1350万英镑,1989-02-22,87,187,左脚,阿根廷、意大利,2021-06-30
戴维·巴内加,Ever Maximiliano Banega,賓尼加,1350万英镑,1988-06-29,73,174,右脚,阿根廷、西班牙,2020-06-30
M.洛佩斯,Marcos Paulo Mesquita Lopes,馬高斯盧比斯,2250万英镑,1995-12-28,68,174,左脚,葡萄牙、巴西,2024-06-30
莫雷诺,Joan Joan Moreno,祖安佐敦,1080万英镑,1994-07-06,,185,右脚,西班牙,2023-06-30
奥利弗托雷斯,Oliver Torres,奧利華托里斯,1530万英镑,1994-11-10,70,175,右脚,西班牙,2024-06-30
J.约瑟夫,Jos&#233; Mena,J.约瑟夫,18万英镑,1998-05-15,,173,右脚,西班牙,2019-06-30
内曼贾·古德利,Nemanja Gudelj,古迪積,585万英镑,1991-11-16,73,187,右脚,塞尔维亚、荷兰,2023-06-30
布里安.吉尔,Bryan Gil Salvatierra,B.吉爾,900万英镑,2001-02-11,,175,左脚,西班牙,2022-06-30
丹尼尔·卡里索,Daniel Filipe Martins Carrico,卡列高,270万英镑,1988-08-04,75,180,右脚,葡萄牙,2020-06-30
J.拉拉,Jose Alonso Alonso Lara,J.拉拉,万英镑,2000-03-07,,162,,西班牙,
瓦卡斯,Alfonso Pastor Vacas,瓦卡斯,万英镑,2000-09-04,,,,西班牙,
卢克.德容,Luuk de Jong,盧克迪莊,1080万英镑,1990-08-27,80,188,右脚,荷兰,2023-06-30
穆尼尔.哈达迪,Munir El Haddadi,艾夏達迪,900万英镑,1995-09-01,62,175,左脚,西班牙、摩洛哥,2023-06-30
哈维尔.埃尔南德斯,Javier Hernandez Balcazar Chicharito,J.靴南迪斯,810万英镑,1988-06-01,62,175,右脚,墨西哥,2022-06-30
N.约瑟夫,Youssef En-Nesyri,N.約瑟夫,1080万英镑,1997-06-01,,189,双脚,摩洛哥,2023-06-30
阿尔伯特·塞拉德斯·洛佩斯,Albert Celades Lopez,施拿迪斯,万英镑,1975-09-29,75,177,,西班牙,
乌梅多梅内克桑切斯,Jaume Domenech Sanchez,多蒙尼治,225万英镑,1990-11-05,79,185,右脚,西班牙,2022-06-30
西莱森,Jasper Cillessen,J.施爾利臣,1620万英镑,1989-04-22,82,187,右脚,荷兰,2023-06-30
埃泽奎尔·马塞罗·加雷,Ezequiel Marcelo Garay,加雷,720万英镑,1986-10-10,84,188,右脚,阿根廷、西班牙,2020-06-30
伊利阿权·曼加拉,Eliaquim Mangala,文加拉,900万英镑,1991-02-13,74,187,左脚,法国、比利时,2021-06-30
丹尼尔·沃斯,Daniel Wass,華斯,1260万英镑,1989-05-31,74,178,右脚,丹麦,2022-06-30
加布里埃尔阿曼多,Gabriel Armando de Abreu,加比保利斯達,1800万英镑,1990-11-26,72,187,右脚,巴西,2022-06-30
皮奇尼,Cristiano Piccini,彼斯尼,900万英镑,1992-09-26,,189,右脚,意大利,2022-06-30
赞米.维森特.霍尔达,Jaume Vicent Costa Jorda,贊米哥斯達,360万英镑,1988-03-18,65,171,左脚,西班牙,2020-06-30
何塞·路易斯·加亚,Jose Luis Gaya Pena,加耶,4500万英镑,1995-05-25,55,172,左脚,西班牙,2023-06-30
R.鲁伊斯,Rodriguez Salva Ruiz,R.魯伊斯,36万英镑,1995-05-17,70,176,左脚,西班牙,2023-06-30
摩卡迪查,Mouctar Diakhaby,戴亞卡比,1800万英镑,1996-12-19,,192,右脚,法国,2023-06-30
帕雷霍,Daniel Parejo MunozParejo,巴利祖,2700万英镑,1989-04-16,75,182,右脚,西班牙,2022-06-30
弗兰西斯·科奎林,Francis Coquelin,高基連,1575万英镑,1991-05-13,73,177,右脚,法国,2022-06-30
杰弗里·康多比亚,Geoffrey Kondogbia,干杜治比亞,2700万英镑,1993-02-15,77,188,左脚,中非共和国、法国,2022-06-30
阿尔瓦罗.梅德兰,Alvaro Medran Just,梅德蘭,162万英镑,1994-03-15,,177,右脚,西班牙,2020-06-30
切里舍夫,Denis Cheryshev,謝利舒夫,540万英镑,1990-12-26,74,179,左脚,俄罗斯、西班牙,2022-06-30
冈萨洛.格德斯,Goncalo Manuel Ganchinho Guedes,基迪斯,3600万英镑,1996-11-29,,179,右脚,葡萄牙,2023-06-30
卡洛斯·索莱尔·巴拉甘,Carlos Soler Barragan,C.巴拉甘,4500万英镑,1997-01-02,,180,右脚,西班牙,2021-06-30
弗兰托雷斯,Ferran Torres,弗蘭托雷斯,1800万英镑,2000-02-29,,184,右脚,西班牙,2021-06-30
曼努埃尔哈维尔,Manuel Javier Vallejo Galvan,曼努埃爾哈維爾,450万英镑,1997-02-14,,167,右脚,西班牙,2024-06-30
C.萨贝特,Cristian Rivero Sabater,C.薩貝特,万英镑,1998-03-21,,,,西班牙,
维森特·埃斯奎尔多,Vicente Esquerdo,埃斯奎爾多,万英镑,1999-02-02,,,,西班牙,
帕布罗·戈扎尔贝兹,Pablo Gozalbez Gilabert,P.戈扎爾貝茲,万英镑,2001-04-30,,,,西班牙,
凯文·加梅罗,Kevin Gameiro,加美路,810万英镑,1987-05-09,64,172,右脚,法国、葡萄牙,2021-06-30
罗德里戈,Rodrigo Moreno MachadoRodri,M.洛迪高,4500万英镑,1991-03-06,70,182,左脚,西班牙、巴西,2022-06-30
索布里诺,Ruben Sobrino Pozuelo,蘇比連奴,270万英镑,1992-06-01,,185,右脚,西班牙,2022-06-30
M.高美斯,Maximiliano Gomez,M.高美斯,3600万英镑,1996-08-14,87,186,右脚,乌拉圭,2024-06-30
盖兹卡·加里塔诺·阿吉雷,Gaizka Garitano Aguirre,加利坦奴,万英镑,1975-07-09,76,184,,西班牙,
I.布埃桑,Iago Herrerin Buisan,I.希利連,360万英镑,1988-01-25,90,187,右脚,西班牙,2021-06-30
U.西蒙,Unai Sim&#243;n,U.西蒙,540万英镑,1997-06-11,,190,右脚,西班牙,2023-06-30
J. 依兹塔,Jokin Ezkieta,J. 依兹塔,27万英镑,1996-08-17,,194,右脚,西班牙,2019-06-30
伊尼戈·马丁内斯,Inigo Martinez Berridi,恩尼高馬天尼斯,2880万英镑,1991-05-17,77,182,左脚,西班牙,2023-06-30
巴伦齐亚加,Mikel Balenziaga Oruesagasti,巴倫斯加,180万英镑,1988-02-29,74,177,左脚,西班牙,2021-06-30
安德尔-卡帕,Ander Capa Rodriguez,安達卡柏,270万英镑,1992-02-08,70,175,右脚,西班牙,2022-06-30
Y. 博奇切,Yuri Berchiche,貝基捷,1800万英镑,1990-02-10,80,181,左脚,西班牙、阿尔及利亚,2022-06-30
德马科斯,Oscar de Marcos Arana Oscar,迪馬高斯,540万英镑,1989-04-14,76,182,右脚,西班牙,2021-06-30
C.加内亚,Cristian Ganea,C.加內亞,90万英镑,1992-05-24,,176,左脚,罗马尼亚、西班牙,2021-06-30
伊尼戈,Inigo Lekue,歷古爾,180万英镑,1993-05-04,,180,右脚,西班牙,2023-06-30
耶雷,Yeray Alvarez Lopez,耶雷,2250万英镑,1995-01-24,,182,右脚,西班牙,2026-06-30
努涅斯,Unai Nunez Gestoso,努涅斯,1350万英镑,1997-01-30,,186,右脚,西班牙,2023-06-30
A.洛佩斯,Andoni Lopez,A.洛佩斯,45万英镑,1996-04-05,,188,左脚,西班牙,2020-06-30
伊拜·戈麦斯,Ibai Gomez Perez,伊拜高美斯,360万英镑,1989-11-11,71,178,右脚,西班牙,2022-06-30
米克尔·多明戈斯,Mikel San Jose Dominguez,米基聖荷西,675万英镑,1989-05-30,75,187,右脚,西班牙,2020-06-30
伊克尔·穆尼亚因,Iker Muniain Goni,蒙尼恩,1350万英镑,1992-12-19,63,169,右脚,西班牙,2024-06-30
劳尔·加西亚·埃斯库德罗,Raul Garcia Escudero,魯爾加西亞,675万英镑,1986-07-11,80,184,右脚,西班牙,2021-06-30
贝尼亚特.艾斯巴利亚,Benat Etxebarria Urkiaga,賓納特,360万英镑,1987-02-19,72,176,右脚,西班牙,2020-06-30
卢比斯,Unai Lopez Cabrera,烏尼盧比斯,135万英镑,1995-10-30,64,170,右脚,西班牙,2022-06-30
D.卡利路,Daniel Garc&#237;a Carrillo,丹尼卡利路,360万英镑,1990-05-24,72,179,右脚,西班牙,2022-06-30
米克尔贝斯加,Mikel Vesga,米克尔贝斯加,360万英镑,1993-04-08,,191,左脚,西班牙,2021-06-30
G.罗德里格斯,Gorka Guruzeta Rodriguez,G.羅德里格斯,万英镑,1996-09-12,73,188,,西班牙,
伊阿古科尔多瓦,Iago Cordoba Kerejeta,伊阿古科爾多瓦,360万英镑,1997-03-13,,180,左脚,西班牙,2022-06-30
拉拉扎巴,Gaizka Larrazabal,拉拉扎巴,27万英镑,1997-12-17,,180,右脚,西班牙,2021-06-30
奥伊汉·桑塞特,Oihan Sancet,O.桑塞特,万英镑,2000-04-25,,183,,西班牙,
阿里茨·阿杜里茨,Aritz Aduriz Zubeldia,阿度利斯,90万英镑,1981-02-11,74,181,右脚,西班牙,2020-06-30
K.克德罗,Kenan Kodro,哥特路,90万英镑,1993-08-19,,188,右脚,波黑、西班牙,2022-06-30
I.威廉士,Inaki Williams Dannis,I.威廉士,4500万英镑,1994-06-15,,186,右脚,西班牙、加纳,2025-06-30
阿西尔,Asier Villalibre,維拉列比,180万英镑,1997-09-30,,184,左脚,西班牙,2023-06-30
雅格巴-阿拉萨特,Jagoba Arrasate,阿拿沙特,万英镑,1978-04-22,,169,,西班牙,
鲁本·伊万·马丁内斯,Ruben Ivan Martinez Andrade,I.魯賓,63万英镑,1984-06-22,82,187,右脚,西班牙,2020-06-30
塞尔吉奥·赫雷拉,Sergio Herrera,S.靴里拉,45万英镑,1993-06-05,,192,,西班牙,2021-06-30
J.皮里斯,Juan Manuel Perez Ruiz,J.皮里斯,18万英镑,1996-07-15,,191,右脚,西班牙,2019-06-30
胡安.皮利斯,Juan Perez,胡安.皮利斯,万英镑,1996-07-15,,187,,西班牙,
利洛,Manuel Castellano Castro Lillo,里路,63万英镑,1989-03-27,76,176,右脚,西班牙,2020-06-30
劳尔.纳瓦斯,Raul Navas,魯爾拿華斯,270万英镑,1988-05-11,77,187,右脚,西班牙,2020-06-30
法昆多.隆卡里亚,Facundo Roncaglia,朗卡尼亞,225万英镑,1987-02-10,76,179,右脚,阿根廷、意大利,2020-06-30
U.加西亞,Unai Garcia Lugea,烏尼加西亞,180万英镑,1992-09-03,,186,左脚,西班牙,2020-06-30
伽西亚,David Garcia,Z.大衛加西亞,180万英镑,1994-02-14,78,185,右脚,西班牙,2021-06-30
托尼·拉托,Antonio Latorre Grueso,東尼勒圖,180万英镑,1997-11-21,,171,左脚,西班牙,2020-06-30
乌姆皮埃雷斯,Aridane Hernandez Umpierrez,艾達靴南迪斯,63万英镑,1989-03-23,77,188,右脚,西班牙、西班牙,2021-06-30
N.维达尔,Nacho Vidal,N.維達爾,180万英镑,1995-01-24,,180,右脚,西班牙,2022-06-30
特诺里奥,Pervis Josue Estupinan Tenorio,艾斯杜賓拿,180万英镑,1998-01-21,,175,左脚,厄瓜多尔,2021-06-30
托雷斯,Roberto Torres Morales,羅拔圖托里斯,180万英镑,1989-03-07,69,178,右脚,西班牙,2021-06-30
祖安韋拿,Juan Villar Vazquez,祖安韋拿,81万英镑,1988-05-19,,182,右脚,西班牙,2021-06-30
梅里达,Francisco Merida Perez,美列達,135万英镑,1990-03-04,64,174,左脚,西班牙,2020-06-30
鲁本.加西亚,Ruben Garcia Santos,魯賓加西亞,315万英镑,1993-07-14,72,171,左脚,西班牙,2023-06-30
达尔科.布拉萨纳奇,Darko Brasanac,巴拉辛歷,180万英镑,1992-02-12,73,178,右脚,塞尔维亚,2022-06-30
伊尼戈.佩雷斯,Inigo Perez,I.皮里斯,72万英镑,1988-01-18,74,178,左脚,西班牙,2022-06-30
奥耶尔,Oier Sanjurjo Mate,奧爾亞,108万英镑,1986-05-25,86,178,右脚,西班牙,2021-06-30
E.阿维拉,Luis Ezequiel Avila,E.艾維拉,450万英镑,1994-02-06,,172,左脚,阿根廷,2023-06-30
恩里克,Enrique Barja,K.巴查,135万英镑,1997-04-04,,179,右脚,西班牙,2021-06-30
罗伯特,Robert Ibanez,罗伯特,90万英镑,1993-03-22,65,181,右脚,西班牙,2023-06-30
安东尼.奥哈里发,Antonio Otegui Khalife,安東尼.奧哈裏發,27万英镑,1998-03-07,,174,右脚,西班牙、摩洛哥,2022-06-30
J.蒙卡约拉,Jon Moncayola Tollar,J.蒙卡約拉,万英镑,1998-05-13,,,,西班牙,
伊纳基.阿尔瓦雷斯,Inaki Alvarez,伊纳基.阿尔瓦雷斯,万英镑,,,,,西班牙,
阿德里安·洛佩斯·阿尔瓦雷斯,Adrian Lopez AlvarezAdrian,阿祖安盧比斯,225万英镑,1988-01-08,71,183,右脚,西班牙,2020-06-30
马克卡多纳,Marc Cardona,馬克卡多納,135万英镑,1995-07-08,,183,右脚,西班牙,2023-06-30
卢比,Joan Francesc Ferrer Sicilia,盧比,万英镑,1970-02-05,,,,西班牙,
若埃尔·罗伯斯,Joel Robles Blazquez,祖爾羅保斯,450万英镑,1990-06-17,90,197,右脚,西班牙,2022-06-30
丹尼.马丁,Daniel Martin Fernandez,丹尼.馬丁,54万英镑,1998-07-08,,187,右脚,西班牙,2024-06-30
马克·巴特拉,Marc Bartra Aregall,巴特拉,1980万英镑,1991-01-15,80,184,右脚,西班牙,2023-06-30
曼迪,Aissa Mandi,艾沙文迪,1440万英镑,1991-10-22,78,184,右脚,阿尔及利亚、法国,2021-06-30
西德内,Sidnei Rechel da Silva Junior,R.薛尼,900万英镑,1989-08-23,80,185,右脚,巴西、西班牙,2022-06-30
亚历山大·莫雷诺洛佩拉,Alexandre Moreno Lopera,阿歷斯摩蘭奴,1080万英镑,1993-06-08,,179,左脚,西班牙,2024-06-30
安东尼奥·巴拉甘,Antonio Barragan Fernandez,巴拉根,180万英镑,1987-06-12,76,186,右脚,西班牙,2020-06-30
Z.费迪拿,Zouhair FEDDAL,Z.费迪拿,450万英镑,1989-12-23,83,192,左脚,摩洛哥、西班牙,2021-06-30
爱默生·索萨,Emerson Aparecido Leite De Souza Junior,艾馬臣迪蘇沙,270万英镑,1999-01-14,,183,右脚,巴西,2021-06-30
弗兰西斯,Francis Guerrero,弗兰西斯,540万英镑,1996-03-11,,175,右脚,西班牙,2023-06-30
E.冈萨雷斯,Edgar Gonzalez Estrada,E.岡薩雷斯,万英镑,1997-04-01,,,,西班牙,
哈维·加西亚,Francisco Fernandez Javi Garcia,查維加西亞,180万英镑,1987-02-08,78,187,右脚,西班牙,2021-06-30
纳比尔.费克尔,Nabil Fekir,費基亞,5400万英镑,1993-07-18,72,173,左脚,法国、阿尔及利亚,2023-06-30
詹米,Juan Miguel Jimenez Lopez Juanmi,祖安美,720万英镑,1993-05-20,63,172,右脚,西班牙,2024-06-30
威廉.卡华浩,William Carvalho,威廉卡華奴,2250万英镑,1992-04-07,78,187,右脚,葡萄牙、安哥拉,2023-06-30
华金·桑切斯·罗德里格斯,Joaquin Sanchez Rodriguez,祖亞昆,180万英镑,1981-07-21,75,181,右脚,西班牙,2020-06-30
何塞·安德烈斯·瓜尔达多,Andres Guardado,古亞達度,450万英镑,1986-09-28,60,169,左脚,墨西哥、西班牙,2020-06-30
塞尔吉奥·卡纳莱斯,Sergio Canales Madrazo,簡拿利斯,2250万英镑,1991-02-16,65,180,左脚,西班牙,2022-06-30
克里斯蒂安.特略,Cristian Tello Herrera,基斯甸泰路,900万英镑,1991-08-11,,178,双脚,西班牙,2022-06-30
G.罗德里格兹,Guido Rodriguez,G.罗德里格兹,900万英镑,1994-04-12,76,185,右脚,阿根廷,2016-06-30
阿方索,Alfonso Pedraza Sag,阿方索,1980万英镑,1996-04-09,,184,左脚,西班牙,2020-06-30
C.阿莱尼亚,Carles Alena Castillo,艾蘭拿,1800万英镑,1998-01-05,,180,左脚,西班牙,2022-06-30
迭戈莱内斯,Diego Lainez Leyva,迭戈莱内斯,1260万英镑,2000-06-09,,167,左脚,墨西哥,2024-06-30
朱力,Juanjo Narvaez,朱力,63万英镑,1995-02-12,,180,右脚,哥伦比亚、西班牙,2021-06-30
阿莱克斯·梅勒恩德斯,Alex Melendez,A.梅勒恩德斯,万英镑,1999-03-13,,178,,西班牙,
D.丹尼,Daniel Dani Martin Alexandre,D.丹尼,万英镑,1981-09-16,62,172,,西班牙,
博尔哈·伊格莱西亚斯,Borja Iglesias Quintas,波查伊格利西斯,2520万英镑,1993-01-17,,187,右脚,西班牙,2024-06-30
加西亚. 洛伦佐,Lorenzo Moron Garcia,加西亞. 洛倫佐,900万英镑,1993-12-30,,185,右脚,西班牙,2022-06-30
大卫.索里亚,David Soria,大衛蘇拿,1350万英镑,1993-04-04,,192,右脚,西班牙,2022-06-30
莱昂纳多·基基佐拉,Leandro Chichizola,捷切蘇拿,90万英镑,1990-03-27,78,182,右脚,阿根廷、意大利,2021-06-30
鲁本.扬泽,Ruben Yanez,R.恩尼斯,27万英镑,1993-10-12,,188,右脚,西班牙,2020-06-30
F.马洛诺维奇,Filip Manojlovic,F.馬洛努洛域,36万英镑,1996-04-25,,197,右脚,塞尔维亚,2021-06-30
阿伦尼约姆,Allan-Romeo Nyom,尼約姆,270万英镑,1988-05-10,81,189,右脚,喀麦隆、法国,2021-06-30
安图内斯,Vitorino Antunes,安杜尼斯,225万英镑,1987-04-01,70,175,左脚,葡萄牙,2020-06-30
埃切塔,Xabier Etxeita Gorritxategi,艾斯達,180万英镑,1987-10-31,82,186,右脚,西班牙,2021-06-30
卡布雷拉,Leandro Cabrera Sasia,卡尼拿,900万英镑,1991-06-17,81,188,左脚,乌拉圭、西班牙,2021-06-30
达米安·萨科.苏亚雷斯,Damian Nicolas Suarez,達米安蘇亞雷斯,315万英镑,1988-04-27,68,173,右脚,乌拉圭、西班牙,2022-06-30
B.卡布雷拉,Bruno Gonzalez Cabrera,般奴干沙里斯,180万英镑,1990-05-24,,184,右脚,西班牙,2020-06-30
达格马,Djene Dakonam,D.達高拿馬,2250万英镑,1991-12-31,,178,双脚,多哥,2023-06-30
马西亚斯.奥利维拉,Mathi-as Olivera,馬蒂亞斯.奧利瓦拉,270万英镑,1997-10-31,77,183,左脚,乌拉圭、西班牙,2023-06-30
M. 库库雷利亚,Marc Cucurella,M. 库库雷利亚,900万英镑,1998-07-22,,175,左脚,西班牙,2020-06-30
弗洛伦·帕普洛,Florent Poulolo,F.帕普洛,万英镑,1997-01-02,,,,法国,
B.马基尔,Markel Bergara Larranaga,貝加拉,72万英镑,1986-05-05,76,181,右脚,西班牙,2020-06-30
波尔蒂略,Francisco Portillo Soler,F.波迪路,360万英镑,1990-06-13,63,169,右脚,西班牙,2021-06-30
高波域,David Timor Copovi,大衛添馬,135万英镑,1989-10-17,76,185,左脚,西班牙,2022-06-30
